origin,treeID,distance,bearing,inclination
B,A06,2.7,101,11
B,A07,2.98,99,9.5
B,A09,12.32,89,5.5
B,A10,10.85,92,8.5
B,A11,18.5,93,7
B,A13,23.37,92,5
A10,A18,3.86,179,-25
A10,A17,5.2,164,-23
A10,A16,3.85,152,-19
A10,A15,4.63,144,-19
A10,A14,8.25,124,-15
A14,A19,10.94,194,-23
A14,A33,8.15,120,-17
A14,A25,11.06,132,-21
A14,A26,13.54,150,-26
A14,A27,13.16,156,-26
A14,A32,9.11,72,-10.5
A32,A31,8.78,86,-23
A32,A29,8.92,136,-30.5
A31,A30,2.52,182,-30.5
