origin,treeID,distance,bearing,inclination
D,B12,5.32,354,27.0
B12,B9,6.25,358,22.0
B12,B13,8.74,352,20.5
B12,B11,7.84,340,19.0
B12,B10,7.78,348,19.0
B12,B14,5.72,310,12.5
B12,B20,8.08,298,8.5
B12,B19,8.11,288,4.0
B11,B66,2.14,348,18.0
B11,B63,2.97,318,15.0
B11,B64,4.35,284,1.5
B11,B65,2.32,254,-11.0
B11,B25,6.63,280,1.1
B11,B54,5.19,44,25.0
B11,B67,4.60,332,21.0
B14,B15,4.53,170,-35.0
B14,B18,4.32,224,-27.0
D,B17,4.50,304,13.0
D,B16,5.35,306,15.0
D,A37,17.86,280,2.0
