origin ,treeID,distance,bearing,inclination
A,B,30,351,23
A,A01,5.73,24,18
A,A02,7,40,23
A,A03,13.3,20,29
A,A04,20.8,9,27
A,A05,24.2,5,23
A,A07,27.2,1,27
A,A08,26.3,9,27
A,A18,25.15,23,28
A,A10,29.1,12,27
A,A19,16.8,52,23
A,A24,19.8,58,16
A,A34,8.75,59,13
A,A20,15.4,72,11
A,A21,16.25,75,8
A,A22,16.7,78,7
A,A23,17.35,78,7
A,A35,20.8,83,4
A,A28,24,81,5
A,A36,26.6,83,4
A,A37,30.4,85,3
A,B16,43.95,86,3
A,B17,44.6,87,2
